,ts_3,ts_4,len_captured,len_original,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
81,1742908186.9999886063,117996.005092614669906,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,377337609.7002049972,1297879507.2440025366,5.0000000154193654637,254.99919436072813461
82,1742908248.9999839958,963054.9969493602955,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1093063619.870932605,2278261069.5135498242,5.0000000154193654637,254.99919436072813461
83,1742908249.9999982244,74571.01423747299958,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1093064214.9223706716,2278261069.5135498242,5.0000000154193654637,254.99919436072813461
84,1742908249.9999982244,74938.004375421863756,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1093064214.9223706716,2278261069.5135498242,5.0000000154193654637,254.99919436072813461
85,1742908308.999997601,849054.992776939927,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,3726165563.882641334,3233693224.8071440058,5.0000000154193654637,254.99919436072813461
86,1742907656.0000000516,918102.99873905981224,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,4226581657.6305595424,1567880362.148311914,5.0000000154193654637,254.99919436072813461
87,1742907656.0000000516,918102.99873905981224,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,4226581657.6305595424,1567880362.148311914,5.0000000154193654637,254.99919436072813461
88,1742907803.9999997731,116341.011472574027295,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,2041062064.1626378451,3891809584.539968038,5.0000000154193654637,254.99919436072813461
89,1742907931.0000099016,880449.99607284675415,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,1128608943.1424094638,1588671507.9296237701,5.0000000154193654637,254.99919436072813461
90,1742908062.9999978273,434791.00165945874818,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,3329543846.1880965508,3658757130.2452029076,5.0000000154193654637,254.99919436072813461
91,1742908186.9999886063,118539.99824262367051,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,377337609.7002049972,1297879507.2440025366,5.0000000154193654637,254.99919436072813461
92,1742908308.999997601,849099.99063174271737,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,3726165563.882641334,3233693224.8071440058,5.0000000154193654637,254.99919436072813461
93,1742907621.0000001371,368221.99965239029777,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,298445838.80419853423,2553190688.6005417132,5.0000000154193654637,1459.9992699656791579
94,1742907621.0000001371,368221.99965239029777,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,298445838.80419853423,2553190688.6005417132,5.0000000154193654637,1459.9992699656791579
95,1742907644.9999995993,799292.00254856401136,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1390926212.3995935288,2636990192.2992139235,5.0000000154193654637,1727.9999996158330386
96,1742907656.0000000516,918214.01634724501713,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1567880377.6089376551,4226581649.087467146,5.0000000154193654637,1459.9992699656791579
97,1742907666.9999990454,21249.002839763714633,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1390926212.3995935288,2636990192.2992139235,5.0000000154193654637,1727.9999996158330386
98,1742907684.9999984597,316053.99430808142853,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1567880377.6089376551,4226581649.087467146,5.0000000154193654637,1459.9992699656791579
99,1742907803.9999997731,116471.986144606881936,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,3891809586.408654146,2041062128.1283812948,5.0000000154193654637,1459.9992699656791579
100,1742907811.9999969199,298978.99153628916005,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,3891809586.408654146,2041062128.1283812948,5.0000000154193654637,1459.9992699656791579
101,1742907872.000010525,173671.98823813710192,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,651248117.3623805479,1353720559.4224523895,5.0000000154193654637,1727.9999996158330386
102,1742907872.000010525,390364.9974572461493,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,651248117.3623805479,1353720559.4224523895,5.0000000154193654637,1727.9999996158330386
103,1742907931.0000099016,880600.0003720252163,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1588671474.8549836448,1128608977.5246192797,5.0000000154193654637,1459.9992699656791579
104,1742907949.0000093158,609528.0024730692026,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1588671474.8549836448,1128608977.5246192797,5.0000000154193654637,1459.9992699656791579
105,1742908001.99999333,670735.0034251498079,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2712474537.954475594,1327618611.8143186406,5.0000000154193654637,1727.9999996158330386
106,1742908001.99999333,917838.98842454512015,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2712474537.954475594,1327618611.8143186406,5.0000000154193654637,1727.9999996158330386
107,1742908062.9999978273,434913.9986583786654,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,3658757095.638443558,3329543884.625018924,5.0000000154193654637,1459.9992699656791579
108,1742908064.9999796116,512524.99978147975807,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,3658757095.638443558,3329543884.625018924,5.0000000154193654637,1459.9992699656791579
109,1742908126.0000074455,312751.9933284899515,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,346956365.9525591163,974832207.83088136016,5.0000000154193654637,1762.0004792141118344
110,1742908126.0000074455,933534.99586892302113,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,346956365.9525591163,974832207.83088136016,5.0000000154193654637,1762.0004792141118344
111,1742908186.9999886063,118652.01198652588374,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1297879506.6577189923,377337667.17275779543,5.0000000154193654637,1459.9992699656791579
112,1742908189.0000170636,941957.01421066115455,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,1297879506.6577189923,377337667.17275779543,5.0000000154193654637,1459.9992699656791579
113,1742908248.9999839958,963274.0094090721973,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2278261054.6580313356,1093063677.6940723892,5.0000000154193654637,1459.9992699656791579
114,1742908248.9999839958,966092.0086534738137,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2278261054.6580313356,53.21485363633837551,5.0000000154193654637,-0.0003508984923108471321
115,1742908249.9999982244,74716.00350855893703,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2278261056.9824510156,53.21485363633837551,5.0000000154193654637,-0.0003508984923108471321
116,1742908249.9999982244,75052.01039075809368,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2278261056.9824510156,53.21485363633837551,5.0000000154193654637,-0.0003508984923108471321
117,1742908308.999997601,849231.99578900006344,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,3233693183.6886225734,3726165719.2136844255,5.0000000154193654637,1459.9992699656791579
118,1742908308.999997601,943580.9902254446066,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,3233693183.6886225734,3726165719.2136844255,5.0000000154193654637,1459.9992699656791579
119,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
120,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
121,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
122,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
123,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
124,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
125,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
126,1742907621.0000001371,376875.00125719817441,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,308906396.796830302,1086706302.1732105109,7.9999999547234296768,1716.0004023544928309
127,1742907579.9999979871,486203.0001061963857,74.000000209227227196,74.000000209227227196,40.00000022776167629,63.999999994651363164,325552365.7253045584,53.21485363633837551,9.999999982499977673,5839.999753249341776
128,1742907579.9999979871,486203.0001061963857,74.000000209227227196,74.000000209227227196,40.00000022776167629,63.999999994651363164,325552365.7253045584,53.21485363633837551,9.999999982499977673,5839.999753249341776
129,1742907579.9999979871,486203.0001061963857,74.000000209227227196,74.000000209227227196,40.00000022776167629,63.999999994651363164,325552365.7253045584,53.21485363633837551,9.999999982499977673,5839.999753249341776
130,1742907993.9999961832,179820.00048548261947,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,1499482115.6789458963,2568464425.059238913,5.0000000154193654637,260.00064724410142958
